Chi_DMSO_S9	Chi_Nutlin_S10	DMSO_1_S1_R1_001	DMSO_2_S2_R1_001	DMSO_HCT116_RPI_26_S1_R1_001	GRO15_DMSO_062111_042215	GRO18_DMSO10_062111_042215	GRO20_DMSO100_062111_042215	i13_AGTCAA_L008_R1_001	i14_AGTTCC_L008_R1_001	i17_GTAGAG_L008_R1_001	i18_GTCCGC_L008_R1_001	MA_DMSO_S3	MA_Nutlin_S4	Nuria_DMSO_S6	Nuria_Nutlin_S7	Nutlin_1_S3_R1_001	Nutlin_2_S4_R1_001	Sam_DMSO_S9_R1_001	SRR1105736	SRR1105737	SRR1105738	SRR1105739	SRR828696	stdev	variance	mean	median	coefvar
OR51B5	194.583312286411	217.339599567199	33.9058067314367	92.0084712795526	78.6986007716713	22.0661609088077	212.988628843155	339.275796060051	303.487678032803	315.148219625778	199.898841728638	203.45200001903	187.106119153624	230.308402652057	186.520205850666	158.686686787985	87.9881216107565	58.333600567413	279.534032382243	131.834828738914	89.714027471933	160.318709665849	91.1486118649919	157.102520963922	88.188975535346	7777.29540597385	167.97704098187	173.419457758257	0.525006125955416
HMGA2	223.119347314535	246.062559183047	40.1432916918279	128.452168114319	109.051949559978	46.8037310635263	184.135177088679	221.750015357475	230.604142266376	230.216959812799	155.035929165149	153.712750139393	224.067258837969	270.85607918821	206.362977628819	177.864671520642	132.795821242474	84.8887238258829	304.476819524751	128.185148360458	84.8250771581637	157.614466905511	104.987790827697	317.458422615963	75.9812635891583	5773.15241660515	173.477969933068	167.739569213076	0.437987968261754
DCBLD2	233.401629843019	280.323496142991	58.3326792002379	128.397421205406	111.209291652333	81.6112064912286	247.588008140686	352.122205166145	274.796861858423	263.091228472888	175.332453513279	159.681840231886	237.608208565899	319.068059707475	218.986312278503	187.669100753961	131.740161897333	80.8634948175927	292.046113113819	115.129019043704	94.2233501853601	143.288157241558	106.788873638184	327.324067500898	88.5818901633623	7846.75126491399	192.52596836095	181.50077713362	0.460103594946152
MIR31HG	291.928102532026	350.775240276007	48.6352832941926	184.390228803161	156.131129187645	63.2085153252393	220.440621393289	329.22908123223	274.398437797399	308.029858575011	173.913529979541	186.500296060974	283.592713379296	345.498108705822	272.368898518757	206.633498571423	187.409050547534	111.009074019926	344.653767310698	121.180075628477	90.0976891390214	184.779679402668	101.682723279119	336.212965568805	96.3594378071516	9285.14125451032	215.529107022011	197.021274559478	0.447083176553555
KITLG	213.758264184089	257.795378605082	25.9686715935645	119.039659432662	104.139573196406	12.9786799465597	134.395491577667	182.383134406991	254.759348245339	274.079675792663	180.388607249925	174.590687491982	236.399824224211	323.022408269716	201.407734711232	188.409024541521	129.111825921422	82.0198365898828	243.274432083835	116.44851813303	56.4229205345889	174.45903760148	70.5961920954695	165.9261201864	80.7837795659655	6526.01904096251	163.407293608988	174.524862546731	0.494370708808569
EZR	251.793758462107	267.891237528268	197.614767196405	274.406727055805	243.839414493239	184.912959548916	313.37232574718	361.044250370293	262.412253168504	238.650116535406	144.889760514039	148.079733582587	222.145604355807	267.490040521706	247.108783381407	247.764320322823	233.058381074513	205.803193934287	422.672171835931	149.246795626456	131.575668978042	179.779010435945	143.463771928592	325.723782463505	72.4303495833913	5246.15554077228	236.03078454424	241.244765514323	0.306868232138658
ANXA2	165.31270204243	185.524403848676	87.9406139808999	146.502400355548	130.962798634329	63.3543509058874	198.63992845086	253.393445694007	186.754391732581	169.279346342231	104.057356803951	97.6204395434524	150.05232067438	194.58683193671	157.329709857204	154.827072840353	136.420553628046	119.30441136323	261.804868444215	99.1033472838305	94.2473808808664	119.517977348365	106.448346618374	253.162487743207	54.2408714355006	2942.0721340825	151.506145289735	148.277360514964	0.358011032039475
ITPRID2	236.731650708325	279.588240382815	48.3208103795534	192.694382675712	164.585864611516	47.0446846242339	273.383283564563	259.080108041679	256.985478084422	265.076468265795	188.114060562383	178.705929993454	295.156897428318	378.797067696297	218.124788707927	200.806635233987	197.101740239099	121.454464541026	332.023697941208	126.74014487358	115.767704957334	164.7040071257	135.026818018846	289.279993266738	83.9430044668139	7046.42799891554	206.887288413521	198.954187736543	0.405742687772246
ALDH1A3	194.575119013917	237.349665063254	25.7408947512117	67.4137364061868	62.2578462896629	192.615896766426	267.935627700867	277.197793834244	136.149335851411	143.298405890454	74.4033281231282	90.0304319767475	156.327635359973	218.178547076095	185.893873332412	208.282166389779	80.0556773671377	69.6599909089145	91.0451353419337	112.285859360331	147.356231955287	149.255006028464	195.73023128463	384.555565939584	84.0785481825738	7069.20226448938	156.983083417169	148.305618991876	0.53558986326662
RCC1	608.207112232759	578.98751983899	803.881113848565	280.502967246799	249.448732630951	134.62143257957	432.525843536847	494.909376031361	397.24631661278	305.406241813218	197.081366430643	166.061666202289	552.871511156388	577.912370790434	581.317257032001	488.11443041761	253.926700414429	243.816681107805	612.306369207246	360.959405221156	268.234403600255	425.360048000255	283.910100294335	591.160684129554	176.11058611962	31014.9385433962	412.032068765677	411.303182306517	0.427419609952192
SNHG29	450.325034240903	402.673734550467	348.420070107886	258.083993344411	228.394636849609	246.048214819774	257.68648302317	304.052729083975	318.480181825936	220.503922013407	233.457069445648	249.659652634228	335.256918731225	319.658231140916	446.898841796278	382.647379530059	233.504026016148	214.545202620351	435.210642596753	284.526007411212	170.228322789508	284.943789912242	164.607390217027	299.393086681721	82.3253323245838	6777.46034235317	295.383565057619	284.734898661727	0.278706543163717
SNX5	234.002044565515	235.449485092817	254.639794258468	101.516713448953	95.3540287195636	183.390970315146	205.45709600743	180.328657302893	197.608876163325	167.588244909987	116.156224094026	106.253728024355	227.428309906295	256.835225011363	220.450829555654	203.027029064368	96.2973860149539	90.4214893328866	318.880553354217	112.911974413006	95.8019738706305	139.269946553637	98.0032087972807	182.039714681765	65.4276666650047	4280.77956522696	171.629729310772	181.184185992329	0.381214064298464
NPM1	214.502491231998	212.605190412626	184.133152981657	127.595923957391	114.763474038679	88.3736453709402	210.798407061169	264.769357294676	281.138500689387	250.360461964091	169.135146012224	128.255814698821	225.886286497522	248.759978662809	202.12171991593	186.349968056078	115.828706198801	104.910271035355	314.945641378385	146.182444951537	103.545796891512	157.2123195078	107.308115453687	266.373061207171	65.5720861600696	4299.69848338359	184.410661477927	185.241560518867	0.355576438122144
HNRNPF	212.192002898053	207.57301976284	243.260440544284	94.5193965608885	92.9047369786138	199.728385247861	180.309856487431	226.018058980022	204.803850011095	128.801576654417	105.502254831546	69.4369255128896	192.998786693933	207.155133590516	206.839436787631	185.640999669025	90.6081890717214	76.6621763931586	258.383810695713	101.72663143801	77.630542071453	94.5100297154809	83.9029411610625	192.900675687381	62.4461157582711	3899.5173732954	155.583744060209	182.975428078228	0.401366583221606
EREG	233.77965415994	290.200173054163	58.8799231831166	333.611827632824	280.01084756246	58.0298059223504	309.88776589858	367.525923538597	365.711613206144	427.017614195588	276.211405687223	275.659965833969	284.563080409951	347.166269162483	223.21244473433	205.569925227501	324.157231873528	214.922135280592	386.04596120205	210.64877013258	155.336443506217	271.525121435865	190.39824798746	412.728097470748	96.8317399616757	9376.38586400557	270.950010345761	278.111126624842	0.357378616956346
RPS24	219.654732027693	213.279231304936	193.238666762919	118.092564885213	102.833546743986	54.6375714221988	189.997188873364	277.358697531676	246.87827660016	208.492527469396	119.996764679419	105.805168596365	207.336253070214	221.259966624301	202.101664382775	187.302643101557	109.764456090713	99.2792676201612	279.02435707567	151.33213118932	105.126054877783	177.713277342387	110.298588118428	242.488755693442	62.716773522535	3933.39368107695	172.637181336837	188.64991598746	0.363286593518732
RPS3	230.008019630497	226.645953891467	205.768160748195	134.390086831875	123.116280152539	116.400378536439	159.49979314876	207.843150875704	226.085716650777	175.133317708223	123.007033576515	98.5834991142022	178.990294340011	215.213262317708	229.051594816232	206.500827142108	122.351114755279	114.998436237885	264.374140788471	152.82945245479	97.4992217337694	150.69236983541	96.835091311976	188.207574565955	50.7133162895419	2571.84044908312	168.501032131866	167.316555428491	0.300967392590536
NEAT1	424.326236359162	594.781117619476	905.315354726585	194.320427206957	167.673775935988	148.544709706488	410.485966248383	561.03250381148	562.515329125022	804.813228094119	326.226562070602	490.863477811241	331.122318184487	601.583888208428	419.863174444595	548.895250251342	210.736588057153	169.858759284153	379.415208900075	251.434129787111	162.400118128692	397.28851480226	205.568808585963	479.541711758233	204.54684346902	41839.41117314	406.191964962833	403.887240525322	0.503571860383148
PABPC1	260.624177605098	285.667568700529	228.739214262049	148.087216561773	138.514153743856	70.553015049345	314.898188074461	519.624961124069	412.178687080471	387.583741749964	253.022643984118	215.832174777818	260.970163380391	310.833672958298	249.184597178193	223.369009514978	133.262601630287	106.381060521018	438.054720148235	313.290163767708	242.364214544314	273.6063488376	234.296478223203	395.309030027309	108.964214381754	11873.2000158328	267.343658476879	256.823410794608	0.407581070007604
